R.FileName,R.FileName_raw,R.Condition,R.Replicate
20230222_Exp...anual_MixA_TR1,20230222_Exp_SM_MethMS_manual_MixA_TR1,A_manual,1
20230222_Exp...anual_MixA_TR2,20230222_Exp_SM_MethMS_manual_MixA_TR2,A_manual,2
20230222_Exp...anual_MixA_TR3,20230222_Exp_SM_MethMS_manual_MixA_TR3,A_manual,3
20230222_Exp...anual_MixA_TR4,20230222_Exp_SM_MethMS_manual_MixA_TR4,A_manual,4
20230222_Exp...anual_MixB_TR1,20230222_Exp_SM_MethMS_manual_MixB_TR1,B_manual,1
20230222_Exp...anual_MixB_TR2,20230222_Exp_SM_MethMS_manual_MixB_TR2,B_manual,2
20230222_Exp...anual_MixB_TR3,20230222_Exp_SM_MethMS_manual_MixB_TR3,B_manual,3
20230222_Exp...anual_MixB_TR4,20230222_Exp_SM_MethMS_manual_MixB_TR4,B_manual,4
