R.Condition,cumulative frequency,CV_cut,level,cumulative frequency proportion
HYE mix A,61892,0.2,peptide level,0.5397071775508603
HYE mix B,64670,0.2,peptide level,0.563931738709593
HYE mix A,8192,0.2,protein level,0.8149621965777955
HYE mix B,8301,0.2,protein level,0.8258058097890967
