slr,t,score,n,p,p.fdr,PG.ProteinGroups,group1,group2,slr_ratio_meta,test,type,significant_changed,significant_changed_raw_p,significant_changed_fc,significant_changed_p_value,fold_change_absolute,fold_change_direction,fold_change,effect_size_method,d,d_pooled_SD,d_95CI_lower,d_95CI_upper,d_magnitute,group1__mean_iBAQ,group_1__iBAQ_quantiles,group2__mean_iBAQ,group_2__iBAQ_quantiles,iBAQ_quantile_comp
-0.04735115822995977,-0.40683431583680935,0.6962885215522975,2,0.7433455288781039,0.9010067176643469,A0PJW6,B_manual,A_manual,B_manual/A_manual,modt,median,none,none,1.5,0.05,1.0333658828130008,down,-1.0333658828130008,Cohen's d,-0.2791354753291562,0.10749625620917351,-1.3567384936316647,0.7984675429733523,small,2588.925,Q4,2660.45,Q5,Q4/Q5
0.04435209898280874,0.44083899890716155,0.6726308225472064,9,0.8641528263603093,1,A1X283,B_manual,A_manual,B_manual/A_manual,modt,median,none,none,1.5,0.05,1.0312199639354895,up,1.0312199639354895,Cohen's d,0.0164415143431017,0.18601783127179852,-0.45365976337759645,0.48654279206379986,negligible,1404.825,Q3,1324.475,Q4,Q3/Q4
-1.018695461448698,-21.574959350959812,1.1666709691855101e-7,1,1.1666709691855098e-7,2.71440629517929e-7,A5Z2X5,B_manual,A_manual,B_manual/A_manual,modt,median,down,down,1.5,0.05,2.0260860685891773,down,-2.0260860685891773,Cohen's d,-15.065249868990184,0.045045851426567037,-24.44209882719858,-5.6884009107817874,large,38521.149999999994,Q9,78088.275,Q9,Q9/Q9
-0.11653719587000834,-1.0692390667918108,0.3204604834796404,5,0.19118087069150372,0.27133602327604356,L0R6Q1,B_manual,A_manual,B_manual/A_manual,modt,median,none,none,1.5,0.05,1.0841295736350784,down,-1.0841295736350784,Cohen's d,-0.6380376488874823,0.14494980588661688,-1.2942931911780793,0.01821789340311475,medium,28498.15,Q8,31907.45,Q9,Q8/Q9
-0.07944281149267553,-0.5016872354346774,0.6312874387652538,1,0.6312874387652538,0.7874066559868685,L0R8F8,B_manual,A_manual,B_manual/A_manual,modt,median,none,none,1.5,0.05,1.0566098845961067,down,-1.0566098845961067,Cohen's d,-0.373287775332773,0.1749948954999194,-2.118519217465945,1.3719436668003988,small,2779.15,Q4,2966.8,Q5,Q4/Q5
0.0066561228245063855,0.1008351334461061,0.9225103322235761,11,0.9999289887769577,1,O00330,B_manual,A_manual,B_manual/A_manual,modt,median,none,none,1.5,0.05,1.0046243321441295,up,1.0046243321441295,Cohen's d,0.179252179379737,0.18970523675277723,-0.2454271017404773,0.6039314604999513,negligible,4894.4,Q5,4884.950000000001,Q6,Q5/Q6
-0.3342264038318361,-2.222578442687177,0.06166437580436744,1,0.06166437580436745,0.09428439148928207,O00458,B_manual,A_manual,B_manual/A_manual,modt,median,none,none,1.5,0.05,1.260701219386997,down,-1.260701219386997,Cohen's d,-1.5357510147611466,0.14798428912309786,-3.5045774041906794,0.43307537466838597,large,120.075,Q1,150.875,Q1,Q1/Q1
0.007998962067487705,-0.07481424887491289,0.9424568477296229,10,0.999970871416514,1,O00487,B_manual,A_manual,B_manual/A_manual,modt,median,none,none,1.5,0.05,1.00555985695823,up,1.00555985695823,Cohen's d,0.05736620617185172,0.31455407210755887,-0.3878922842613508,0.5026246966050543,negligible,30011.075,Q8,32368.55,Q9,Q8/Q9
-0.0022888265417981947,-0.032186069304840983,0.9752226806379888,33,1,1,O00571,B_manual,A_manual,B_manual/A_manual,modt,median,none,none,1.5,0.05,1.0015877528110997,down,-1.0015877528110997,Cohen's d,-0.037042232482722336,0.1975282501548824,-0.27943751330650674,0.20535304834106205,negligible,104792.7,Q10,112171.575,Q10,Q10/Q10
-0.11812710261831404,-0.6426256234641494,0.5409472911698429,9,0.5998730422797132,0.7532240455692639,O00622,B_manual,A_manual,B_manual/A_manual,modt,median,none,none,1.5,0.05,1.08532498569278,down,-1.08532498569278,Cohen's d,0.17235660746202572,0.3216608366586687,-0.2986087297849015,0.643321944708953,negligible,3684.925,Q5,3548.625,Q5,Q5/Q5
-0.9757784447891623,-8.291817111513216,7.269728432227093e-5,9,2.557739087569524e-19,1.1509825894062858e-18,O13516,B_manual,A_manual,B_manual/A_manual,modt,median,down,down,1.5,0.05,1.9667020976918053,down,-1.9667020976918053,Cohen's d,-2.184892658194232,0.3573361925655418,-2.778909020076732,-1.5908762963117324,large,138334.725,Q10,251255.5,Q10,Q10/Q10
-1.221558233080553,-15.391660608668346,1.1853189561013088e-6,1,1.1853189561013077e-6,2.51985062379104e-6,O13547,B_manual,A_manual,B_manual/A_manual,modt,median,down,down,1.5,0.05,2.3319845544253672,down,-2.3319845544253672,Cohen's d,-7.914781912294582,0.10132918334971971,-13.056346258824874,-2.7732175657642886,large,801.15,Q3,1873.8249999999998,Q4,Q3/Q4
-0.22716344388234208,-2.2672521626498425,0.05773254263020154,1,0.057732542630201535,0.08872393821389868,O14521,B_manual,A_manual,B_manual/A_manual,modt,median,none,none,1.5,0.05,1.170531244227617,down,-1.170531244227617,Cohen's d,-1.5222502487919731,0.09847014915706645,-3.487149205976066,0.4426487083921198,large,5651.55,Q6,6567.325,Q6,Q6/Q6
-0.05294734595107307,-0.9991841365935014,0.3510038305220333,3,0.2831211335476495,0.3925563318469716,O14561,B_manual,A_manual,B_manual/A_manual,modt,median,none,none,1.5,0.05,1.0373820745353493,down,-1.0373820745353493,Cohen's d,-0.6291878589184206,0.20313491932897706,-1.4965382849797928,0.2381625671429517,medium,26367.525,Q8,26587.425,Q9,Q8/Q9
